ActivityId,Id,Date,EmployeeId,FromTime,Hours,Month,Rate,Status,ToTime,Year
42,207,20200323,1,2020032308:30:00:000,8,3,0,4,2020032317:00:00:000,2020
42,208,20200324,1,2020032409:00:00:000,7.5,3,0,4,2020032417:00:00:000,2020
42,209,20200325,1,2020032507:00:00:000,9.25,3,0,4,2020032517:00:00:000,2020
42,219,20211129,4,2021112908:28:00:000,8.10000038146973,11,0,4,2021112917:04:00:000,2021
42,220,20211130,4,2021113008:35:00:000,8.08333301544189,11,0,4,2021113017:10:00:000,2021
42,221,20211201,4,2021120108:14:00:000,4.15000009536743,12,,4,2021120112:23:00:000,2021
42,222,20211201,4,2021120112:58:00:000,4.21666669845581,12,,4,2021120117:11:00:000,2021
42,223,20220214,4,2022021408:26:00:000,8.11666679382324,2,0,4,2022021417:03:00:000,2022
42,224,20220215,4,2022021508:32:00:000,8.21666622161865,2,0,4,2022021517:15:00:000,2022
42,225,20220216,4,2022021608:25:00:000,0,2,0,4,,2022
42,226,20220217,4,2022021708:23:00:000,3.96666669845581,2,,4,2022021712:21:00:000,2022
42,227,20220217,4,2022021712:54:00:000,4.11666679382324,2,,4,2022021717:01:00:000,2022
42,228,20220218,4,2022021808:25:00:000,4.09999990463257,2,,4,2022021812:31:00:000,2022
42,229,20220218,4,2022021812:55:00:000,4.05000019073486,2,0,4,2022021817:04:00:000,2022
42,230,20220214,8,2022021408:26:00:000,8.11666679382324,2,0,4,2022021417:03:00:000,2022
42,231,20220215,8,2022021508:32:00:000,7.81666660308838,2,0,4,2022021516:51:00:000,2022
42,232,20220216,8,2022021608:25:00:000,8.16666698455811,2,0,4,2022021617:05:00:000,2022
42,233,20220217,8,2022021708:23:00:000,8.13333320617676,2,0,4,2022021717:01:00:000,2022
42,234,20220218,8,2022021808:25:00:000,8.14999961853027,2,0,4,2022021817:04:00:000,2022
42,235,20220214,14,2022021408:26:00:000,8.25,2,0,4,2022021417:11:00:000,2022
